,clipname,id,bestframe,category,pcd_pillar
115859,S_Clip_39832_13,4,50,TUNNEL,8726
72980,S_Clip_16126_13,1,30,TUNNEL,8710
131842,S_Clip_45493_13,1,46,TUNNEL,8705
128517,S_Clip_43263_13,1,63,TUNNEL,8700
4124,A_Clip_03671_13,1,30,TUNNEL,8690
137113,S_Clip_47199_13,2,48,TUNNEL,8690
153320,S_Clip_55955_13,1,41,TUNNEL,8681
128021,S_Clip_43140_13,1,53,TUNNEL,8674
123679,S_Clip_41650_13,1,51,TUNNEL,8668
96737,S_Clip_35033_13,1,46,TUNNEL,8647
121326,S_Clip_41326_13,1,41,TUNNEL,8579
37288,A_Clip_22379_13,3,56,TUNNEL,8576
151260,S_Clip_55827_13,1,42,TUNNEL,8553
130913,S_Clip_44388_13,1,57,TUNNEL,8539
94611,S_Clip_34704_13,1,41,TUNNEL,8532
100339,S_Clip_35817_13,1,46,TUNNEL,8519
153196,S_Clip_55937_13,1,34,TUNNEL,8499
68735,S_Clip_10630_13,1,30,TUNNEL,8490
153414,S_Clip_55957_13,1,48,TUNNEL,8483
92016,S_Clip_34211_13,1,38,TUNNEL,8479
114024,S_Clip_39557_13,1,36,TUNNEL,8443
151913,S_Clip_55868_13,3,47,TUNNEL,8442
99890,S_Clip_35782_13,1,51,TUNNEL,8440
98315,S_Clip_35312_13,1,55,TUNNEL,8432
70385,S_Clip_13564_13,1,30,TUNNEL,8410
124662,S_Clip_41837_13,1,41,TUNNEL,8404
73743,S_Clip_25694_13,1,30,TUNNEL,8395
66782,S_Clip_10294_13,1,30,TUNNEL,8374
111724,S_Clip_38319_13,1,46,TUNNEL,8354
107344,S_Clip_36734_13,1,55,TUNNEL,8326
145236,S_Clip_48752_13,1,49,TUNNEL,8319
154737,S_Clip_57831_13,1,44,TUNNEL,8312
134720,S_Clip_46585_13,1,48,TUNNEL,8306
91696,S_Clip_33878_13,2,36,TUNNEL,8296
66096,S_Clip_09787_13,1,30,TUNNEL,8270
135473,S_Clip_46882_13,1,48,TUNNEL,8269
85363,S_Clip_32509_13,1,30,TUNNEL,8261
153508,S_Clip_55961_13,2,46,TUNNEL,8253
147725,S_Clip_49090_13,3,45,TUNNEL,8244
136644,S_Clip_47090_13,1,40,TUNNEL,8233
98260,S_Clip_35310_13,1,46,TUNNEL,8226
86356,S_Clip_32591_13,1,30,TUNNEL,8219
77290,S_Clip_30139_13,1,30,TUNNEL,8214
119006,S_Clip_40317_13,7,35,TUNNEL,8205
120099,S_Clip_41221_13,3,46,TUNNEL,8204
82356,S_Clip_32231_13,1,30,TUNNEL,8172
142668,S_Clip_48357_13,3,41,TUNNEL,8169
128321,S_Clip_43162_13,1,39,TUNNEL,8141
3314,A_Clip_03467_13,1,30,TUNNEL,8135
91593,S_Clip_33875_13,1,40,TUNNEL,8127
151046,S_Clip_55805_13,3,46,TUNNEL,8112
151126,S_Clip_55807_13,1,49,TUNNEL,8104
97871,S_Clip_35234_13,2,31,TUNNEL,8093
152226,S_Clip_55877_13,1,34,TUNNEL,8092
78336,S_Clip_30506_13,1,30,TUNNEL,8078
128675,S_Clip_43268_13,1,45,TUNNEL,8071
159450,S_Clip_58356_13,2,46,TUNNEL,8068
142723,S_Clip_48358_13,4,41,TUNNEL,8060
144691,S_Clip_48646_13,1,48,TUNNEL,8058
103955,S_Clip_36266_13,1,41,TUNNEL,8056
122117,S_Clip_41468_13,1,47,TUNNEL,8056
37744,A_Clip_22402_13,1,63,TUNNEL,8054
86176,S_Clip_32568_13,1,30,TUNNEL,8050
137733,S_Clip_47326_13,1,50,TUNNEL,8050
97022,S_Clip_35080_13,1,31,TUNNEL,8045
79206,S_Clip_30934_13,1,30,TUNNEL,8043
95893,S_Clip_34869_13,2,60,TUNNEL,8040
143018,S_Clip_48378_13,1,51,TUNNEL,8022
66842,S_Clip_10300_13,2,30,TUNNEL,8019
123490,S_Clip_41567_13,1,51,TUNNEL,7995
128360,S_Clip_43251_13,1,37,TUNNEL,7976
107152,S_Clip_36721_13,2,56,TUNNEL,7973
75776,S_Clip_29832_13,1,30,TUNNEL,7970
155468,S_Clip_57889_13,1,36,TUNNEL,7964
157127,S_Clip_58177_13,1,31,TUNNEL,7947
96490,S_Clip_35009_13,2,55,TUNNEL,7943
77717,S_Clip_30189_13,1,30,TUNNEL,7937
138244,S_Clip_47377_13,1,70,TUNNEL,7926
113915,S_Clip_39548_13,1,36,TUNNEL,7918
119269,S_Clip_41115_13,1,50,TUNNEL,7917
96386,S_Clip_34993_13,1,50,TUNNEL,7875
124706,S_Clip_41838_13,1,44,TUNNEL,7871
135578,S_Clip_46888_13,1,53,TUNNEL,7866
113272,S_Clip_39461_13,1,38,TUNNEL,7852
152269,S_Clip_55886_13,1,43,TUNNEL,7848
136479,S_Clip_47081_13,1,38,TUNNEL,7845
154053,S_Clip_55995_13,7,43,TUNNEL,7834
111926,S_Clip_38339_13,1,40,TUNNEL,7803
128571,S_Clip_43265_13,1,55,TUNNEL,7794
131712,S_Clip_45462_13,1,51,TUNNEL,7791
99803,S_Clip_35776_13,1,41,TUNNEL,7782
75381,S_Clip_29735_13,1,30,TUNNEL,7743
123781,S_Clip_41653_13,1,46,TUNNEL,7740
154010,S_Clip_55994_13,1,38,TUNNEL,7730
76575,S_Clip_29978_13,3,30,TUNNEL,7725
98415,S_Clip_35327_13,1,41,TUNNEL,7720
100787,S_Clip_35847_13,2,41,TUNNEL,7699
90036,S_Clip_33540_13,1,30,TUNNEL,7682
127612,S_Clip_43088_13,1,46,TUNNEL,7679
77243,S_Clip_30122_13,1,30,TUNNEL,7676
91864,S_Clip_34203_13,1,30,TUNNEL,7675
126429,S_Clip_42832_13,1,45,TUNNEL,7675
143498,S_Clip_48503_13,1,48,TUNNEL,7663
78226,S_Clip_30229_13,1,30,TUNNEL,7655
53434,A_Clip_24964_13,1,41,TUNNEL,7640
75520,S_Clip_29808_13,1,30,TUNNEL,7640
112226,S_Clip_38367_13,1,51,TUNNEL,7634
96172,S_Clip_34942_13,1,46,TUNNEL,7624
136562,S_Clip_47086_13,1,44,TUNNEL,7623
152147,S_Clip_55874_13,1,45,TUNNEL,7618
112719,S_Clip_38450_13,1,51,TUNNEL,7603
126767,S_Clip_42975_13,1,46,TUNNEL,7593
87432,S_Clip_32785_13,1,30,TUNNEL,7586
154233,S_Clip_57787_13,2,44,TUNNEL,7572
117095,S_Clip_40015_13,4,49,TUNNEL,7552
121537,S_Clip_41358_13,1,46,TUNNEL,7552
78666,S_Clip_30895_13,1,30,TUNNEL,7548
78846,S_Clip_30911_13,1,30,TUNNEL,7536
135425,S_Clip_46881_13,1,48,TUNNEL,7525
97809,S_Clip_35223_13,3,41,TUNNEL,7498
91625,S_Clip_33876_13,1,32,TUNNEL,7488
111886,S_Clip_38337_13,1,40,TUNNEL,7459
154927,S_Clip_57849_13,1,41,TUNNEL,7443
18591,A_Clip_18595_13,1,30,TUNNEL,7437
76069,S_Clip_29871_13,2,30,TUNNEL,7433
86984,S_Clip_32757_13,1,30,TUNNEL,7432
83106,S_Clip_32338_13,1,30,TUNNEL,7423
76954,S_Clip_30107_13,1,30,TUNNEL,7423
106959,S_Clip_36709_13,1,51,TUNNEL,7411
85606,S_Clip_32520_13,1,30,TUNNEL,7404
68825,S_Clip_10643_13,1,30,TUNNEL,7403
72470,S_Clip_14844_13,1,30,TUNNEL,7400
103687,S_Clip_36254_13,7,36,TUNNEL,7396
51585,A_Clip_23897_13,2,45,TUNNEL,7384
151171,S_Clip_55808_13,1,45,TUNNEL,7383
67298,S_Clip_10399_13,1,30,TUNNEL,7377
77213,S_Clip_30121_13,1,30,TUNNEL,7372
85846,S_Clip_32534_13,1,30,TUNNEL,7367
121732,S_Clip_41386_13,1,51,TUNNEL,7360
100724,S_Clip_35845_13,1,41,TUNNEL,7330
97686,S_Clip_35205_13,3,41,TUNNEL,7322
35557,A_Clip_22184_13,2,41,TUNNEL,7304
67508,S_Clip_10423_13,2,30,TUNNEL,7297
91073,S_Clip_33841_13,2,39,TUNNEL,7297
98712,S_Clip_35663_13,1,41,TUNNEL,7291
141069,S_Clip_47873_13,1,41,TUNNEL,7259
133842,S_Clip_46197_13,2,43,TUNNEL,7251
114102,S_Clip_39568_13,1,37,TUNNEL,7244
87014,S_Clip_32758_13,1,30,TUNNEL,7230
157516,S_Clip_58194_13,1,41,TUNNEL,7228
82015,S_Clip_31596_13,1,30,TUNNEL,7220
81985,S_Clip_31584_13,3,30,TUNNEL,7209
74549,S_Clip_28942_13,1,30,TUNNEL,7206
74339,S_Clip_28395_13,1,30,TUNNEL,7206
140254,S_Clip_47701_13,1,48,TUNNEL,7195
138853,S_Clip_47455_13,1,46,TUNNEL,7171
153661,S_Clip_55974_13,1,56,TUNNEL,7143
86491,S_Clip_32601_13,1,30,TUNNEL,7129
151626,S_Clip_55847_13,1,52,TUNNEL,7127
151721,S_Clip_55849_13,1,50,TUNNEL,7120
146363,S_Clip_48844_13,1,56,TUNNEL,7111
135880,S_Clip_46905_13,2,47,TUNNEL,7103
148914,S_Clip_51076_13,1,51,TUNNEL,7098
75620,S_Clip_29813_13,1,30,TUNNEL,7097
100145,S_Clip_35809_13,2,60,TUNNEL,7081
78726,S_Clip_30899_13,1,30,TUNNEL,7080
114060,S_Clip_39561_13,1,36,TUNNEL,7071
81555,S_Clip_31153_13,1,30,TUNNEL,7068
113234,S_Clip_39458_13,1,30,TUNNEL,7061
1912,A_Clip_03244_13,1,30,TUNNEL,7054
145784,S_Clip_48786_13,1,46,TUNNEL,7010
151865,S_Clip_55854_13,3,49,TUNNEL,7004
69418,S_Clip_13480_13,1,30,TUNNEL,6993
92052,S_Clip_34217_13,2,36,TUNNEL,6993
151293,S_Clip_55830_13,1,33,TUNNEL,6967
34764,A_Clip_22068_13,2,40,TUNNEL,6967
75466,S_Clip_29801_13,1,30,TUNNEL,6963
99950,S_Clip_35787_13,1,60,TUNNEL,6962
133969,S_Clip_46216_13,4,44,TUNNEL,6962
150666,S_Clip_52319_13,1,49,TUNNEL,6940
108182,S_Clip_37083_13,3,29,TUNNEL,6939
101957,S_Clip_36159_13,1,30,TUNNEL,6932
152927,S_Clip_55926_13,1,50,TUNNEL,6924
158458,S_Clip_58260_13,1,36,TUNNEL,6910
35071,A_Clip_22126_13,3,43,TUNNEL,6905
61574,S_Clip_07805_13,1,30,TUNNEL,6899
155932,S_Clip_57915_13,1,43,TUNNEL,6895
143764,S_Clip_48524_13,1,54,TUNNEL,6892
120996,S_Clip_41317_13,1,46,TUNNEL,6890
78936,S_Clip_30914_13,1,30,TUNNEL,6877
103801,S_Clip_36261_13,6,36,TUNNEL,6871
92490,S_Clip_34253_13,1,32,TUNNEL,6870
92146,S_Clip_34229_13,2,60,TUNNEL,6856
154189,S_Clip_56530_13,1,80,TUNNEL,6853
154264,S_Clip_57795_13,1,31,TUNNEL,6841
2152,A_Clip_03329_13,1,30,TUNNEL,6840
125775,S_Clip_42516_13,1,30,TUNNEL,6838
120053,S_Clip_41205_13,4,41,TUNNEL,6830
59796,A_Clip_26911_13,1,45,TUNNEL,6826
120630,S_Clip_41281_13,1,39,TUNNEL,6826
67088,S_Clip_10363_13,1,30,TUNNEL,6817
122069,S_Clip_41410_13,3,48,TUNNEL,6794
117414,S_Clip_40034_13,1,46,TUNNEL,6786
113440,S_Clip_39484_13,1,30,TUNNEL,6778
114964,S_Clip_39759_13,3,81,TUNNEL,6775
136178,S_Clip_46991_13,3,56,TUNNEL,6769
155210,S_Clip_57881_13,1,36,TUNNEL,6767
152372,S_Clip_55889_13,1,47,TUNNEL,6758
138893,S_Clip_47456_13,1,40,TUNNEL,6758
66423,S_Clip_10209_13,1,30,TUNNEL,6751
120691,S_Clip_41286_13,1,60,TUNNEL,6737
91034,S_Clip_33834_13,1,43,TUNNEL,6734
95677,S_Clip_34842_13,1,41,TUNNEL,6730
92696,S_Clip_34268_13,1,32,TUNNEL,6725
73443,S_Clip_25162_13,1,30,TUNNEL,6723
133051,S_Clip_46116_13,1,39,TUNNEL,6721
57285,A_Clip_26349_13,1,38,TUNNEL,6721
149071,S_Clip_51096_13,1,60,TUNNEL,6720
131611,S_Clip_45458_13,1,56,TUNNEL,6714
82045,S_Clip_31597_13,2,30,TUNNEL,6707
160181,S_Clip_58499_13,1,46,TUNNEL,6705
77491,S_Clip_30171_13,1,30,TUNNEL,6704
35598,A_Clip_22185_13,1,41,TUNNEL,6703
80285,S_Clip_31071_13,1,30,TUNNEL,6703
2287,A_Clip_03338_13,1,30,TUNNEL,6696
101174,S_Clip_35866_13,1,41,TUNNEL,6692
78696,S_Clip_30897_13,1,30,TUNNEL,6685
59713,A_Clip_26907_13,1,42,TUNNEL,6683
68525,S_Clip_10586_13,2,30,TUNNEL,6660
81495,S_Clip_31150_13,1,30,TUNNEL,6649
74288,S_Clip_28394_13,1,30,TUNNEL,6632
121376,S_Clip_41328_13,1,50,TUNNEL,6629
103103,S_Clip_36216_13,1,37,TUNNEL,6625
2212,A_Clip_03333_13,1,30,TUNNEL,6622
109978,S_Clip_37886_13,1,90,TUNNEL,6616
142154,S_Clip_48251_13,1,30,TUNNEL,6591
72497,S_Clip_14852_13,1,27,TUNNEL,6586
136021,S_Clip_46954_13,1,66,TUNNEL,6579
92458,S_Clip_34250_13,1,36,TUNNEL,6565
77777,S_Clip_30191_13,1,30,TUNNEL,6556
76480,S_Clip_29934_13,1,30,TUNNEL,6548
12899,A_Clip_14453_13,1,30,TUNNEL,6539
148596,S_Clip_49732_13,1,35,TUNNEL,6538
8688,A_Clip_13797_13,3,30,TUNNEL,6536
94728,S_Clip_34737_13,3,31,TUNNEL,6528
98034,S_Clip_35270_13,1,61,TUNNEL,6524
35850,A_Clip_22244_13,1,41,TUNNEL,6523
68048,S_Clip_10473_13,1,30,TUNNEL,6521
102161,S_Clip_36174_13,1,30,TUNNEL,6508
91660,S_Clip_33877_13,2,35,TUNNEL,6505
113204,S_Clip_39453_13,1,30,TUNNEL,6491
96280,S_Clip_34947_13,1,57,TUNNEL,6488
125241,S_Clip_41964_13,1,46,TUNNEL,6485
131415,S_Clip_45432_13,3,61,TUNNEL,6475
47894,A_Clip_23366_13,1,37,TUNNEL,6462
97957,S_Clip_35267_13,1,50,TUNNEL,6461
142417,S_Clip_48319_13,1,51,TUNNEL,6455
121239,S_Clip_41323_13,1,51,TUNNEL,6453
71637,S_Clip_13718_13,1,30,TUNNEL,6451
125914,S_Clip_42782_13,1,51,TUNNEL,6449
97768,S_Clip_35220_13,3,41,TUNNEL,6449
77461,S_Clip_30166_13,1,30,TUNNEL,6447
113345,S_Clip_39472_13,1,38,TUNNEL,6441
145951,S_Clip_48810_13,1,47,TUNNEL,6437
91834,S_Clip_34199_13,1,32,TUNNEL,6435
114133,S_Clip_39570_13,1,31,TUNNEL,6429
82776,S_Clip_32314_13,1,30,TUNNEL,6425
119138,S_Clip_40324_13,1,35,TUNNEL,6420
66303,S_Clip_10187_13,1,30,TUNNEL,6419
96640,S_Clip_35019_13,1,50,TUNNEL,6411
136719,S_Clip_47093_13,1,37,TUNNEL,6402
148561,S_Clip_49727_13,1,40,TUNNEL,6395
493,A_Clip_03145_13,1,30,TUNNEL,6394
127082,S_Clip_43051_13,1,46,TUNNEL,6383
65041,S_Clip_08307_13,1,30,TUNNEL,6382
67388,S_Clip_10407_13,1,30,TUNNEL,6375
118896,S_Clip_40303_13,1,42,TUNNEL,6375
